,薬効分類名称,一般名,剤形,総計(処方数量),男_0～4歳,男_5～9歳,男_10～14歳,男_15～19歳,男_20～24歳,男_25～29歳,男_30～34歳,男_35～39歳,男_40～44歳,男_45～49歳,男_50～54歳,男_55～59歳,男_60～64歳,男_65～69歳,男_70～74歳,男_75～79歳,男_80～84歳,男_85～89歳,男_90～94歳,男_95～99歳,男_100歳以上,女_0～4歳,女_5～9歳,女_10～14歳,女_15～19歳,女_20～24歳,女_25～29歳,女_30～34歳,女_35～39歳,女_40～44歳,女_45～49歳,女_50～54歳,女_55～59歳,女_60～64歳,女_65～69歳,女_70～74歳,女_75～79歳,女_80～84歳,女_85～89歳,女_90～94歳,女_95～99歳,女_100歳以上
538,その他の外皮用薬,メトロニダゾール,点眼・点耳・点鼻剤,15431543.0,4985.0,9593.0,31989.0,140283.0,173016.0,163531.0,171173.0,185941.0,210489.0,237929.0,277146.0,247709.0,258452.0,271541.0,355971.0,304710.0,205261.0,130000.0,70837.0,26478.0,8985.0,4475.0,8646.0,46818.0,198310.0,333760.0,432137.0,475108.0,626494.0,785292.0,1052105.0,1081517.0,828966.0,713443.0,904574.0,1229548.0,1077575.0,840468.0,632054.0,400136.0,214170.0,55907.0
4575,生薬,ヨクイニン,その他（内服）,15362553.0,11968.0,43225.0,68342.0,106082.0,72249.0,89628.0,112367.0,176766.0,150267.0,267852.0,303642.0,298515.0,256569.0,189824.0,333164.0,241206.0,141884.0,84120.0,24029.0,0.0,0.0,4786.0,41553.0,51380.0,171598.0,197081.0,476376.0,532198.0,913613.0,1236267.0,1706071.0,1849865.0,1466960.0,1146987.0,793387.0,802317.0,545137.0,293303.0,97455.0,29448.0,1200.0,0.0
6677,鎮痛，鎮痒，収斂，消炎剤,クロベタゾン酪酸エステル,軟膏・クリーム・外用液,15359979.0,3062958.0,1233586.0,473293.0,298989.0,252672.0,235110.0,222794.0,215621.0,227296.0,226797.0,194249.0,154007.0,142042.0,155817.0,208061.0,226447.0,209466.0,138901.0,70746.0,16755.0,1118.0,2436013.0,1035011.0,397842.0,264888.0,248447.0,242484.0,225301.0,233857.0,226385.0,252876.0,262310.0,204489.0,174765.0,163993.0,219740.0,228050.0,216144.0,177951.0,118772.0,37735.0,7080.0
4338,漢方製剤,黄連解毒湯エキス,カプセル剤,15335101.0,0.0,45837.0,250859.0,538366.0,469490.0,402164.0,399514.0,367425.0,437764.0,505360.0,590219.0,493560.0,392998.0,341820.0,369160.0,330576.0,261433.0,136868.0,56155.0,15026.0,0.0,0.0,23662.0,177148.0,375660.0,448353.0,519800.0,491880.0,619198.0,667522.0,924958.0,1325506.0,842068.0,553669.0,401799.0,491469.0,412787.0,320166.0,195313.0,93936.0,22999.0,2072.0
6265,解熱鎮痛消炎剤,※未登録：ロキソプロフェンＮａ錠６０ｍｇ「ＮＰＩ」,錠剤,15321303.0,0.0,0.0,29935.0,148042.0,164213.0,203693.0,256334.0,348999.0,433957.0,618684.0,735179.0,692067.0,683672.0,647016.0,673294.0,577528.0,410756.0,208534.0,51771.0,11285.0,0.0,0.0,0.0,23794.0,128001.0,184030.0,235594.0,263027.0,356896.0,459862.0,642181.0,756065.0,712557.0,700705.0,711209.0,882035.0,848483.0,775760.0,502772.0,187984.0,47954.0,5818.0
740,その他の泌尿生殖器官及び肛門用薬,※未登録：フラボキサート塩酸塩錠２００ｍｇ「サワイ」,錠剤,15311564.0,0.0,0.0,4956.0,16567.0,28017.0,25124.0,46568.0,54873.0,82910.0,131925.0,184441.0,256430.0,366512.0,596652.0,919330.0,1181705.0,1300622.0,974623.0,508001.0,113440.0,9030.0,0.0,1025.0,6576.0,19232.0,36098.0,42849.0,49010.0,70006.0,99869.0,164829.0,234936.0,298932.0,382313.0,512223.0,869442.0,1166150.0,1518988.0,1550643.0,1056226.0,373812.0,50599.0
6185,解毒剤,グルタチオン,錠剤,15268739.0,0.0,6487.0,27551.0,48865.0,47560.0,115145.0,165817.0,221775.0,324066.0,388481.0,480302.0,484059.0,417171.0,327263.0,352096.0,278769.0,215695.0,112709.0,35884.0,5015.0,0.0,0.0,4007.0,21655.0,64959.0,226783.0,609387.0,832594.0,1055658.0,1268558.0,1668146.0,1741321.0,1275544.0,752918.0,455347.0,418170.0,322797.0,238186.0,158803.0,48912.0,8964.0,0.0
5636,血圧降下剤,バルサルタン・シルニジピン,錠剤,15255008.0,0.0,0.0,0.0,0.0,1279.0,9818.0,22094.0,60312.0,140198.0,356980.0,631556.0,806245.0,976666.0,1044865.0,1317637.0,1127373.0,791509.0,456527.0,146638.0,26216.0,1202.0,0.0,0.0,0.0,0.0,0.0,1412.0,4952.0,20014.0,64975.0,195508.0,374795.0,482241.0,550189.0,702438.0,1096232.0,1241333.0,1190388.0,864327.0,431066.0,100173.0,8268.0
3178,局所麻酔剤,リドカイン,軟膏・クリーム・外用液,15205266.0,66411.0,51263.0,4483.0,2118.0,3380.0,8211.0,29998.0,91191.0,176963.0,406156.0,723888.0,959919.0,1084858.0,1288416.0,1776664.0,1683754.0,1240130.0,695068.0,181046.0,17057.0,0.0,77737.0,51043.0,7902.0,4412.0,4728.0,7276.0,17440.0,32613.0,61435.0,131523.0,232192.0,302012.0,373328.0,520587.0,809896.0,801129.0,659704.0,416908.0,159720.0,18327.0,0.0
85,その他のアレルギー用薬,※未登録：フェキソフェナジン塩酸塩錠６０ｍｇ「三和」,錠剤,15136025.0,0.0,2976.0,189280.0,280344.0,204878.0,213439.0,240976.0,294105.0,332946.0,432253.0,523207.0,521801.0,566226.0,542855.0,596839.0,554632.0,436933.0,268126.0,107753.0,21013.0,2544.0,0.0,1446.0,164709.0,265190.0,251571.0,308529.0,353395.0,452558.0,533402.0,701841.0,846723.0,799480.0,722808.0,663048.0,743773.0,684899.0,568606.0,424764.0,216466.0,82539.0,12209.0
