医薬品名,薬価基準収載医薬品コード,一般名,薬剤区分
ブロモバレリル尿素,1121001X1018,ブロモバレリル尿素,内服
抱水クロラール,1123001X1012,抱水クロラール,内服
ユーロジン散１％,1124001B1039,エスタゾラム,内服
ユーロジン１ｍｇ錠,1124001F1022,エスタゾラム,内服
エスタゾラム錠１ｍｇ「アメル」,1124001F1030,エスタゾラム,内服
ユーロジン２ｍｇ錠,1124001F2029,エスタゾラム,内服
エスタゾラム錠２ｍｇ「アメル」,1124001F2037,エスタゾラム,内服
ダルメートカプセル１５,1124002M2022,フルラゼパム塩酸塩,内服
ニトラゼパム１％細粒,1124003C1017,ニトラゼパム,内服
ベンザリン細粒１％,1124003C1092,ニトラゼパム,内服
ベンザリン錠２,1124003F1021,ニトラゼパム,内服
ニトラゼパム５ｍｇ錠,1124003F2010,ニトラゼパム,内服
ベンザリン錠５,1124003F2222,ニトラゼパム,内服
ニトラゼパム１０ｍｇ錠,1124003F3016,ニトラゼパム,内服
ベンザリン錠１０,1124003F3121,ニトラゼパム,内服
トリアゾラム０．１２５ｍｇ錠,1124007F1011,トリアゾラム,内服
ハルシオン０．１２５ｍｇ錠,1124007F1020,トリアゾラム,内服
トリアゾラム０．２５ｍｇ錠,1124007F2018,トリアゾラム,内服
ハルシオン０．２５ｍｇ錠,1124007F2026,トリアゾラム,内服
フルニトラゼパム１ｍｇ錠,1124008F1016,フルニトラゼパム,内服
サイレース錠１ｍｇ,1124008F1024,フルニトラゼパム,内服
フルニトラゼパム２ｍｇ錠,1124008F2012,フルニトラゼパム,内服
サイレース錠２ｍｇ,1124008F2020,フルニトラゼパム,内服
ブロチゾラム０．２５ｍｇ錠,1124009F1010,ブロチゾラム,内服
レンドルミン錠０．２５ｍｇ,1124009F1223,ブロチゾラム,内服
ブロチゾラム０．２５ｍｇ口腔内崩壊錠,1124009F2017,ブロチゾラム,内服
レンドルミンＤ錠０．２５ｍｇ,1124009F2025,ブロチゾラム,内服
エバミール錠１．０,1124010F1021,ロルメタゼパム,内服
ロラメット錠１．０,1124010F1030,ロルメタゼパム,内服
セレナール散１０％,1124013B1031,オキサゾラム,内服
セレナール錠５,1124013F1033,オキサゾラム,内服
セレナール錠１０,1124013F2064,オキサゾラム,内服
セパゾン散１％,1124014B1036,クロキサゾラム,内服
セパゾン錠１,1124014F1038,クロキサゾラム,内服
セパゾン錠２,1124014F2034,クロキサゾラム,内服
メンドンカプセル７．５ｍｇ,1124015M2038,クロラゼプ酸二カリウム,内服
セルシン散１％,1124017B1129,ジアゼパム,内服
ホリゾン散１％,1124017B1145,ジアゼパム,内服
ジアゼパム２ｍｇ錠,1124017F2011,ジアゼパム,内服
２ｍｇセルシン錠,1124017F2135,ジアゼパム,内服
ホリゾン錠２ｍｇ,1124017F2151,ジアゼパム,内服
ジアゼパム５ｍｇ錠,1124017F4014,ジアゼパム,内服
５ｍｇセルシン錠,1124017F4049,ジアゼパム,内服
ホリゾン錠５ｍｇ,1124017F4162,ジアゼパム,内服
１０ｍｇセルシン錠,1124017F5037,ジアゼパム,内服
ジアゼパム錠１０ｍｇ「ツルハラ」,1124017F5096,ジアゼパム,内服
レキソタン細粒１％,1124020C1045,ブロマゼパム,内服
ブロマゼパム細粒１％「サンド」,1124020C1061,ブロマゼパム,内服
レキソタン錠１,1124020F1025,ブロマゼパム,内服
ブロマゼパム錠１ｍｇ「サンド」,1124020F1041,ブロマゼパム,内服
レキソタン錠２,1124020F2030,ブロマゼパム,内服
ブロマゼパム錠２ｍｇ「サンド」,1124020F2056,ブロマゼパム,内服
ブロマゼパム錠３ｍｇ「サンド」,1124020F3044,ブロマゼパム,内服
レキソタン錠５,1124020F4032,ブロマゼパム,内服
ブロマゼパム錠５ｍｇ「サンド」,1124020F4059,ブロマゼパム,内服
メダゼパム錠２（ツルハラ）,1124021F1046,メダゼパム,内服
レスミット錠２,1124021F1054,メダゼパム,内服
メダゼパム錠５（ツルハラ）,1124021F2123,メダゼパム,内服
レスミット錠５,1124021F2166,メダゼパム,内服
ワイパックス錠０．５,1124022F1067,ロラゼパム,内服
ロラゼパム錠０．５ｍｇ「サワイ」,1124022F1083,ロラゼパム,内服
ワイパックス錠１．０,1124022F2071,ロラゼパム,内服
ロラゼパム錠１ｍｇ「サワイ」,1124022F2110,ロラゼパム,内服
アルプラゾラム０．４ｍｇ錠,1124023F1010,アルプラゾラム,内服
コンスタン０．４ｍｇ錠,1124023F1029,アルプラゾラム,内服
ソラナックス０．４ｍｇ錠,1124023F1037,アルプラゾラム,内服
アルプラゾラム０．８ｍｇ錠,1124023F2017,アルプラゾラム,内服
コンスタン０．８ｍｇ錠,1124023F2025,アルプラゾラム,内服
ソラナックス０．８ｍｇ錠,1124023F2033,アルプラゾラム,内服
アルプラゾラム錠０．８ｍｇ「アメル」,1124023F2084,アルプラゾラム,内服
トフィソパム細粒１０％「ツルハラ」,1124026C1115,トフィソパム,内服
トフィソパム５０ｍｇ錠,1124026F1014,トフィソパム,内服
グランダキシン錠５０,1124026F1022,トフィソパム,内服
クロルジアゼポキシド散,1124028B1011,クロルジアゼポキシド,内服
クロルジアゼポキシド散１％「ツルハラ」,1124028B1062,クロルジアゼポキシド,内服
クロルジアゼポキシド錠,1124028F1013,クロルジアゼポキシド,内服
メイラックス細粒１％,1124029C1038,ロフラゼプ酸エチル,内服
ロフラゼプ酸エチル１ｍｇ錠,1124029F1018,ロフラゼプ酸エチル,内服
メイラックス錠１ｍｇ,1124029F1026,ロフラゼプ酸エチル,内服
ロフラゼプ酸エチル２ｍｇ錠,1124029F2014,ロフラゼプ酸エチル,内服
メイラックス錠２ｍｇ,1124029F2022,ロフラゼプ酸エチル,内服
クアゼパム１５ｍｇ錠,1124030F1010,クアゼパム,内服
ドラール錠１５,1124030F1029,クアゼパム,内服
クアゼパム２０ｍｇ錠,1124030F2017,クアゼパム,内服
ドラール錠２０,1124030F2025,クアゼパム,内服
ドルミカムシロップ２ｍｇ／ｍＬ,1124031Q1024,ミダゾラム,内服
アモバルビタール,1125001X1017,アモバルビタール,内服
バルビタール,1125002X1011,バルビタール,内服
フェノバルビタール散１０％,1125003B2015,フェノバルビタール,内服
フェノバール散１０％,1125003B2031,フェノバルビタール,内服
フェノバルビタール,1125003X1016,フェノバルビタール,内服
フェノバール錠３０ｍｇ,1125004F1023,フェノバルビタール,内服
フェノバールエリキシル０．４％,1125004S1030,フェノバルビタール,内服
ラボナ錠５０ｍｇ,1125006F1030,ペントバルビタールカルシウム,内服
臭化カリウム,1126001X1014,臭化カリウム,内服
臭化ナトリウム,1126002X1019,臭化ナトリウム,内服
トリクロリールシロップ１０％,1129004Q1031,トリクロホスナトリウム,内服
リスミー錠１ｍｇ,1129006F1021,リルマザホン塩酸塩水和物,内服
リスミー錠２ｍｇ,1129006F2028,リルマザホン塩酸塩水和物,内服
ゾピクロン７．５ｍｇ錠,1129007F1018,ゾピクロン,内服
アモバン錠７．５,1129007F1026,ゾピクロン,内服
ゾピクロン１０ｍｇ錠,1129007F2014,ゾピクロン,内服
アモバン錠１０,1129007F2022,ゾピクロン,内服
タンドスピロンクエン酸塩５ｍｇ錠,1129008F1012,タンドスピロンクエン酸塩,内服
セディール錠５ｍｇ,1129008F1039,タンドスピロンクエン酸塩,内服
タンドスピロンクエン酸塩１０ｍｇ錠,1129008F2019,タンドスピロンクエン酸塩,内服
セディール錠１０ｍｇ,1129008F2035,タンドスピロンクエン酸塩,内服
タンドスピロンクエン酸塩２０ｍｇ錠,1129008F3015,タンドスピロンクエン酸塩,内服
セディール錠２０ｍｇ,1129008F3023,タンドスピロンクエン酸塩,内服
ゾルピデム酒石酸塩５ｍｇ錠,1129009F1017,ゾルピデム酒石酸塩,内服
マイスリー錠５ｍｇ,1129009F1025,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩１０ｍｇ錠,1129009F2013,ゾルピデム酒石酸塩,内服
マイスリー錠１０ｍｇ,1129009F2021,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩錠１０ｍｇ「ＡＦＰ」,1129009F2048,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩錠１０ｍｇ「ＪＧ」,1129009F2110,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩錠１０ｍｇ「ケミファ」,1129009F2234,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩錠１０ｍｇ「トーワ」,1129009F2285,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩錠１０ｍｇ「日医工」,1129009F2293,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰＩ」,1129009F2366,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩錠１０ｍｇ「ＮＩＧ」,1129009F2374,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩５ｍｇ口腔内崩壊錠,1129009F3010,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」,1129009F4040,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩ＯＤフィルム１０ｍｇ「モチダ」,1129009F4059,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「トーワ」,1129009F4067,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「日医工」,1129009F4075,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩内用液５ｍｇ「タカタ」,1129009S1023,ゾルピデム酒石酸塩,内服
ゾルピデム酒石酸塩内用液１０ｍｇ「タカタ」,1129009S2020,ゾルピデム酒石酸塩,内服
エスゾピクロン１ｍｇ錠,1129010F1010,エスゾピクロン,内服
ルネスタ錠１ｍｇ,1129010F1028,エスゾピクロン,内服
エスゾピクロン錠１ｍｇ「ＫＭＰ」,1129010F1044,エスゾピクロン,内服
エスゾピクロン錠１ｍｇ「ＮＰＩ」,1129010F1052,エスゾピクロン,内服
エスゾピクロン錠１ｍｇ「ＹＤ」,1129010F1079,エスゾピクロン,内服
エスゾピクロン錠１ｍｇ「明治」,1129010F1150,エスゾピクロン,内服
エスゾピクロン２ｍｇ錠,1129010F2016,エスゾピクロン,内服
ルネスタ錠２ｍｇ,1129010F2024,エスゾピクロン,内服
エスゾピクロン錠２ｍｇ「ＫＭＰ」,1129010F2040,エスゾピクロン,内服
エスゾピクロン錠２ｍｇ「ＮＰＩ」,1129010F2059,エスゾピクロン,内服
エスゾピクロン錠２ｍｇ「明治」,1129010F2156,エスゾピクロン,内服
エスゾピクロン３ｍｇ錠,1129010F3012,エスゾピクロン,内服
ルネスタ錠３ｍｇ,1129010F3020,エスゾピクロン,内服
エスゾピクロン錠３ｍｇ「ＫＭＰ」,1129010F3047,エスゾピクロン,内服
エスゾピクロン錠３ｍｇ「ＮＰＩ」,1129010F3055,エスゾピクロン,内服
エスゾピクロン錠３ｍｇ「ＹＤ」,1129010F3071,エスゾピクロン,内服
エスゾピクロン錠３ｍｇ「アメル」,1129010F3080,エスゾピクロン,内服
エスゾピクロン錠３ｍｇ「杏林」,1129010F3098,エスゾピクロン,内服
エスゾピクロン錠３ｍｇ「トーワ」,1129010F3128,エスゾピクロン,内服
エスゾピクロン錠３ｍｇ「日新」,1129010F3136,エスゾピクロン,内服
エスゾピクロン錠３ｍｇ「明治」,1129010F3152,エスゾピクロン,内服
クランポール末,1131001A1038,アセチルフェネトライド,内服
クランポール錠２００ｍｇ,1131001F1035,アセチルフェネトライド,内服
アクセノン末,1132001A1035,エトトイン,内服
フェニトイン散,1132002B1019,フェニトイン,内服
フェニトイン錠,1132002F1010,フェニトイン,内服
アレビアチン錠２５ｍｇ,1132002F1037,フェニトイン,内服
アレビアチン錠１００ｍｇ,1132002F2041,フェニトイン,内服
ミノアレ散６６．７％,1133002B1032,トリメタジオン,内服
プリミドン細粒９９．５％「日医工」,1135002C1059,プリミドン,内服
プリミドン錠２５０ｍｇ「日医工」,1135002F1055,プリミドン,内服
オスポロット錠５０ｍｇ,1137001F1039,スルチアム,内服
オスポロット錠２００ｍｇ,1137001F2035,スルチアム,内服
エピレオプチマル散５０％,1139001B1031,エトスクシミド,内服
ザロンチンシロップ５％,1139001Q1042,エトスクシミド,内服
カルバマゼピン細粒５０％「アメル」,1139002C1066,カルバマゼピン,内服
テグレトール細粒５０％,1139002C1082,カルバマゼピン,内服
カルバマゼピン細粒５０％「フジナガ」,1139002C1090,カルバマゼピン,内服
カルバマゼピン２００ｍｇ錠,1139002F1011,カルバマゼピン,内服
テグレトール錠２００ｍｇ,1139002F1062,カルバマゼピン,内服
カルバマゼピン錠２００ｍｇ「アメル」,1139002F1070,カルバマゼピン,内服
カルバマゼピン１００ｍｇ錠,1139002F2018,カルバマゼピン,内服
テグレトール錠１００ｍｇ,1139002F2026,カルバマゼピン,内服
カルバマゼピン錠１００ｍｇ「アメル」,1139002F2042,カルバマゼピン,内服
リボトリール細粒０．１％,1139003C1044,クロナゼパム,内服
ランドセン細粒０．１％,1139003C1052,クロナゼパム,内服
リボトリール細粒０．５％,1139003C2040,クロナゼパム,内服
ランドセン細粒０．５％,1139003C2059,クロナゼパム,内服
リボトリール錠０．５ｍｇ,1139003F1040,クロナゼパム,内服
ランドセン錠０．５ｍｇ,1139003F1059,クロナゼパム,内服
リボトリール錠１ｍｇ,1139003F2047,クロナゼパム,内服
ランドセン錠１ｍｇ,1139003F2055,クロナゼパム,内服
リボトリール錠２ｍｇ,1139003F3043,クロナゼパム,内服
ランドセン錠２ｍｇ,1139003F3051,クロナゼパム,内服
バルプロ酸ナトリウム細粒２０％「ＥＭＥＣ」,1139004C1049,バルプロ酸ナトリウム,内服
デパケン細粒４０％,1139004C2061,バルプロ酸ナトリウム,内服
バルプロ酸ナトリウム細粒４０％「ＥＭＥＣ」,1139004C2070,バルプロ酸ナトリウム,内服
バルプロ酸ナトリウム４０％徐放顆粒,1139004D1010,バルプロ酸ナトリウム,内服
セレニカＲ顆粒４０％,1139004D1052,バルプロ酸ナトリウム,内服
バルプロ酸ナトリウム１００ｍｇ錠,1139004F1010,バルプロ酸ナトリウム,内服
デパケン錠１００ｍｇ,1139004F1096,バルプロ酸ナトリウム,内服
バルプロ酸ナトリウム錠２００ｍｇ「アメル」,1139004F2165,バルプロ酸ナトリウム,内服
デパケン錠２００ｍｇ,1139004F2173,バルプロ酸ナトリウム,内服
バルプロ酸Ｎａ錠２００ｍｇ「フジナガ」,1139004F2190,バルプロ酸ナトリウム,内服
バルプロ酸ナトリウム錠２００ｍｇ「ＤＳＰ」,1139004F2203,バルプロ酸ナトリウム,内服
バルプロ酸ナトリウム１００ｍｇ徐放錠,1139004G1016,バルプロ酸ナトリウム,内服
デパケンＲ錠１００ｍｇ,1139004G1040,バルプロ酸ナトリウム,内服
セレニカＲ錠２００ｍｇ,1139004G2039,バルプロ酸ナトリウム,内服
バルプロ酸ナトリウムＳＲ錠２００ｍｇ「アメル」,1139004G2055,バルプロ酸ナトリウム,内服
デパケンＲ錠２００ｍｇ,1139004G2063,バルプロ酸ナトリウム,内服
バルプロ酸ナトリウム徐放錠Ａ２００ｍｇ「トーワ」,1139004G2080,バルプロ酸ナトリウム,内服
セレニカＲ錠４００ｍｇ,1139004G3027,バルプロ酸ナトリウム,内服
バルプロ酸ナトリウム５％シロップ,1139004Q1011,バルプロ酸ナトリウム,内服
デパケンシロップ５％,1139004Q1100,バルプロ酸ナトリウム,内服
バルプロ酸ナトリウムシロップ５％「日医工」,1139004Q1119,バルプロ酸ナトリウム,内服
バルプロ酸Ｎａシロップ５％「フジナガ」,1139004Q1127,バルプロ酸ナトリウム,内服
エクセグラン散２０％,1139005B1048,ゾニサミド,内服
ゾニサミド散２０％「アメル」,1139005B1056,ゾニサミド,内服
ゾニサミド１００ｍｇ錠,1139005F1015,ゾニサミド,内服
エクセグラン錠１００ｍｇ,1139005F1023,ゾニサミド,内服
マイスタン細粒１％,1139006C1030,クロバザム,内服
マイスタン錠５ｍｇ,1139006F1028,クロバザム,内服
マイスタン錠１０ｍｇ,1139006F2024,クロバザム,内服
ガバペン錠２００ｍｇ,1139007F1022,ガバペンチン,内服
ガバペン錠３００ｍｇ,1139007F2029,ガバペンチン,内服
ガバペン錠４００ｍｇ,1139007F3025,ガバペンチン,内服
ガバペンシロップ５％,1139007Q1023,ガバペンチン,内服
トピナ細粒１０％,1139008C1020,トピラマート,内服
トピナ錠５０ｍｇ,1139008F1027,トピラマート,内服
トピラマート錠５０ｍｇ「アメル」,1139008F1035,トピラマート,内服
トピナ錠１００ｍｇ,1139008F2023,トピラマート,内服
トピラマート錠１００ｍｇ「アメル」,1139008F2031,トピラマート,内服
トピナ錠２５ｍｇ,1139008F3020,トピラマート,内服
トピラマート錠２５ｍｇ「アメル」,1139008F3038,トピラマート,内服
ラモトリギン２ｍｇ錠,1139009F1013,ラモトリギン,内服
ラミクタール錠小児用２ｍｇ,1139009F1021,ラモトリギン,内服
ラモトリギン５ｍｇ錠,1139009F2010,ラモトリギン,内服
ラミクタール錠小児用５ｍｇ,1139009F2028,ラモトリギン,内服
ラモトリギン２５ｍｇ錠,1139009F3016,ラモトリギン,内服
ラミクタール錠２５ｍｇ,1139009F3024,ラモトリギン,内服
ラモトリギン錠２５ｍｇ「ＪＧ」,1139009F3032,ラモトリギン,内服
ラモトリギン錠２５ｍｇ「アメル」,1139009F3040,ラモトリギン,内服
ラモトリギン錠２５ｍｇ「サワイ」,1139009F3059,ラモトリギン,内服
ラモトリギン錠２５ｍｇ「トーワ」,1139009F3067,ラモトリギン,内服
ラモトリギン１００ｍｇ錠,1139009F4012,ラモトリギン,内服
ラミクタール錠１００ｍｇ,1139009F4020,ラモトリギン,内服
ラモトリギン錠１００ｍｇ「ＪＧ」,1139009F4039,ラモトリギン,内服
ラモトリギン錠１００ｍｇ「アメル」,1139009F4047,ラモトリギン,内服
ラモトリギン錠１００ｍｇ「サワイ」,1139009F4055,ラモトリギン,内服
ラモトリギン錠１００ｍｇ「トーワ」,1139009F4063,ラモトリギン,内服
イーケプラ錠２５０ｍｇ,1139010F1024,レベチラセタム,内服
レベチラセタム錠２５０ｍｇ「ＪＧ」,1139010F1032,レベチラセタム,内服
レベチラセタム錠２５０ｍｇ「ＶＴＲＳ」,1139010F1040,レベチラセタム,内服
レベチラセタム錠２５０ｍｇ「アメル」,1139010F1059,レベチラセタム,内服
レベチラセタム錠２５０ｍｇ「杏林」,1139010F1067,レベチラセタム,内服
レベチラセタム錠２５０ｍｇ「サワイ」,1139010F1075,レベチラセタム,内服
レベチラセタム錠２５０ｍｇ「タカタ」,1139010F1083,レベチラセタム,内服
レベチラセタム錠２５０ｍｇ「トーワ」,1139010F1091,レベチラセタム,内服
レベチラセタム錠２５０ｍｇ「日医工」,1139010F1105,レベチラセタム,内服
レベチラセタム錠２５０ｍｇ「日新」,1139010F1113,レベチラセタム,内服
レベチラセタム錠２５０ｍｇ「フェルゼン」,1139010F1121,レベチラセタム,内服
レベチラセタム錠２５０ｍｇ「明治」,1139010F1130,レベチラセタム,内服
レベチラセタム錠２５０ｍｇ「サンド」,1139010F1148,レベチラセタム,内服
イーケプラ錠５００ｍｇ,1139010F2020,レベチラセタム,内服
レベチラセタム錠５００ｍｇ「ＪＧ」,1139010F2039,レベチラセタム,内服
レベチラセタム錠５００ｍｇ「ＶＴＲＳ」,1139010F2047,レベチラセタム,内服
レベチラセタム錠５００ｍｇ「アメル」,1139010F2055,レベチラセタム,内服
レベチラセタム錠５００ｍｇ「杏林」,1139010F2063,レベチラセタム,内服
レベチラセタム錠５００ｍｇ「サワイ」,1139010F2071,レベチラセタム,内服
レベチラセタム錠５００ｍｇ「タカタ」,1139010F2080,レベチラセタム,内服
レベチラセタム錠５００ｍｇ「トーワ」,1139010F2098,レベチラセタム,内服
レベチラセタム錠５００ｍｇ「日医工」,1139010F2101,レベチラセタム,内服
レベチラセタム錠５００ｍｇ「日新」,1139010F2110,レベチラセタム,内服
レベチラセタム錠５００ｍｇ「フェルゼン」,1139010F2128,レベチラセタム,内服
レベチラセタム錠５００ｍｇ「明治」,1139010F2136,レベチラセタム,内服
レベチラセタム錠５００ｍｇ「サンド」,1139010F2144,レベチラセタム,内服
レベチラセタム粒状錠２５０ｍｇ「サワイ」,1139010F3027,レベチラセタム,内服
レベチラセタム粒状錠５００ｍｇ「サワイ」,1139010F4023,レベチラセタム,内服
イーケプラドライシロップ５０％,1139010R1020,レベチラセタム,内服
レベチラセタムドライシロップ５０％「ＪＧ」,1139010R1039,レベチラセタム,内服
レベチラセタムドライシロップ５０％「ＹＤ」,1139010R1047,レベチラセタム,内服
レベチラセタムＤＳ５０％「杏林」,1139010R1055,レベチラセタム,内服
レベチラセタムＤＳ５０％「サワイ」,1139010R1063,レベチラセタム,内服
レベチラセタムＤＳ５０％「タカタ」,1139010R1071,レベチラセタム,内服
レベチラセタムＤＳ５０％「トーワ」,1139010R1080,レベチラセタム,内服
レベチラセタムドライシロップ５０％「日医工」,1139010R1098,レベチラセタム,内服
レベチラセタムドライシロップ５０％「日新」,1139010R1101,レベチラセタム,内服
レベチラセタムドライシロップ５０％「明治」,1139010R1110,レベチラセタム,内服
ディアコミットカプセル２５０ｍｇ,1139011M1028,スチリペントール,内服
ディアコミットドライシロップ分包２５０ｍｇ,1139011R1025,スチリペントール,内服
ディアコミットドライシロップ分包５００ｍｇ,1139011R2021,スチリペントール,内服
イノベロン錠１００ｍｇ,1139012F1023,ルフィナミド,内服
イノベロン錠２００ｍｇ,1139012F2020,ルフィナミド,内服
サブリル散分包５００ｍｇ,1139013B1026,ビガバトリン,内服
フィコンパ細粒１％,1139014C1026,ペランパネル水和物,内服
フィコンパ錠２ｍｇ,1139014F1022,ペランパネル水和物,内服
フィコンパ錠４ｍｇ,1139014F2029,ペランパネル水和物,内服
ビムパット錠５０ｍｇ,1139015F1027,ラコサミド,内服
ラコサミド錠５０ｍｇ「ＪＧ」,1139015F1035,ラコサミド,内服
ラコサミド錠５０ｍｇ「ＶＴＲＳ」,1139015F1043,ラコサミド,内服
ラコサミド錠５０ｍｇ「ＹＤ」,1139015F1051,ラコサミド,内服
ラコサミド錠５０ｍｇ「アメル」,1139015F1060,ラコサミド,内服
ラコサミド錠５０ｍｇ「ケミファ」,1139015F1078,ラコサミド,内服
ラコサミド錠５０ｍｇ「サワイ」,1139015F1086,ラコサミド,内服
ラコサミド錠５０ｍｇ「サンド」,1139015F1094,ラコサミド,内服
ラコサミド錠５０ｍｇ「ダイト」,1139015F1108,ラコサミド,内服
ラコサミド錠５０ｍｇ「タカタ」,1139015F1116,ラコサミド,内服
ラコサミド錠５０ｍｇ「日新」,1139015F1124,ラコサミド,内服
ビムパット錠１００ｍｇ,1139015F2023,ラコサミド,内服
ラコサミド錠１００ｍｇ「ＪＧ」,1139015F2031,ラコサミド,内服
ラコサミド錠１００ｍｇ「ＶＴＲＳ」,1139015F2040,ラコサミド,内服
ラコサミド錠１００ｍｇ「ＹＤ」,1139015F2058,ラコサミド,内服
ラコサミド錠１００ｍｇ「アメル」,1139015F2066,ラコサミド,内服
ラコサミド錠１００ｍｇ「ケミファ」,1139015F2074,ラコサミド,内服
ラコサミド錠１００ｍｇ「サワイ」,1139015F2082,ラコサミド,内服
ラコサミド錠１００ｍｇ「サンド」,1139015F2090,ラコサミド,内服
ラコサミド錠１００ｍｇ「ダイト」,1139015F2104,ラコサミド,内服
ラコサミド錠１００ｍｇ「タカタ」,1139015F2112,ラコサミド,内服
ラコサミド錠１００ｍｇ「日新」,1139015F2120,ラコサミド,内服
ビムパットドライシロップ１０％,1139015R1023,ラコサミド,内服
ラコサミドドライシロップ１０％「ＪＧ」,1139015R1031,ラコサミド,内服
ラコサミドドライシロップ１０％「ＹＤ」,1139015R1040,ラコサミド,内服
ラコサミドＤＳ１０％「アメル」,1139015R1058,ラコサミド,内服
ラコサミドドライシロップ１０％「ケミファ」,1139015R1066,ラコサミド,内服
ラコサミドＤＳ１０％「サワイ」,1139015R1074,ラコサミド,内服
ラコサミドドライシロップ１０％「サンド」,1139015R1082,ラコサミド,内服
ラコサミドドライシロップ１０％「ダイト」,1139015R1090,ラコサミド,内服
ラコサミドＤＳ１０％「タカタ」,1139015R1104,ラコサミド,内服
ラコサミドドライシロップ１０％「日新」,1139015R1112,ラコサミド,内服
フィンテプラ内用液２．２ｍｇ／ｍＬ,1139016S1020,フェンフルラミン塩酸塩,内服
ブリィビアクト錠２５ｍｇ,1139017F1026,ブリーバラセタム,内服
ブリィビアクト錠５０ｍｇ,1139017F2022,ブリーバラセタム,内服
複合アレビアチン配合錠,1139100F1037,フェニトイン・フェノバルビタール,内服
ヒダントールＤ配合錠,1139103X1036,フェニトイン・フェノバルビタール配合剤,内服
ヒダントールＥ配合錠,1139104X1030,フェニトイン・フェノバルビタール配合剤,内服
ヒダントールＦ配合錠,1139105X1035,フェニトイン・フェノバルビタール配合剤,内服
アセトアミノフェン,1141001X1010,アセトアミノフェン,内服
ポンタール散５０％,1141005B1062,メフェナム酸,内服
ポンタール細粒９８．５％,1141005C2030,メフェナム酸,内服
ポンタールカプセル２５０ｍｇ,1141005M2094,メフェナム酸,内服
ポンタールシロップ３．２５％,1141005Q1081,メフェナム酸,内服
アセトアミノフェン２０％細粒,1141007C1016,アセトアミノフェン,内服
カロナール細粒２０％,1141007C1075,アセトアミノフェン,内服
アセトアミノフェン細粒２０％「トーワ」,1141007C1156,アセトアミノフェン,内服
カロナール細粒５０％,1141007C2020,アセトアミノフェン,内服
アセトアミノフェン２００ｍｇ錠,1141007F1012,アセトアミノフェン,内服
カロナール錠２００,1141007F1063,アセトアミノフェン,内服
アセトアミノフェン錠２００ｍｇ「ＪＧ」,1141007F1152,アセトアミノフェン,内服
アセトアミノフェン錠２００ｍｇ「ＴＣＫ」,1141007F1225,アセトアミノフェン,内服
アセトアミノフェン３００ｍｇ錠,1141007F2019,アセトアミノフェン,内服
カロナール錠３００,1141007F2027,アセトアミノフェン,内服
アセトアミノフェン錠３００ｍｇ「ＪＧ」,1141007F2043,アセトアミノフェン,内服
カロナール錠５００,1141007F3023,アセトアミノフェン,内服
アセトアミノフェン錠５００ｍｇ「マルイシ」,1141007F3031,アセトアミノフェン,内服
アセトアミノフェン錠５００ｍｇ「ケンエー」,1141007F3040,アセトアミノフェン,内服
アセトアミノフェン２％シロップ,1141007Q1013,アセトアミノフェン,内服
アセトアミノフェンＤＳ小児用２０％「タカタ」,1141007R1060,アセトアミノフェン,内服
アセトアミノフェンＤＳ小児用２０％「トーワ」,1141007R1078,アセトアミノフェン,内服
アセトアミノフェンＤＳ小児用２０％「三和」,1141007R1086,アセトアミノフェン,内服
アセトアミノフェンＤＳ４０％「三和」,1141007R2031,アセトアミノフェン,内服
アスピリン「ケンエー」,1143001X1040,アスピリン,内服
アスピリン「ホエイ」,1143001X1112,アスピリン,内服
アスピリン（山善）,1143001X1147,アスピリン,内服
アスピリン「ヨシダ」,1143001X1201,アスピリン,内服
アスピリン原末「マルイシ」,1143001X1236,アスピリン,内服
エテンザミド,1143005X1013,エテンザミド,内服
イソプロピルアンチピリン,1144002X1017,イソプロピルアンチピリン,内服
スルピリン水和物,1144005X1010,スルピリン水和物,内服
ミグレニン,1144007X1010,ミグレニン,内服
インドメタシンカプセル,1145001M1013,インドメタシン,内服
ランツジールコーワ錠３０ｍｇ,1145003F1030,アセメタシン,内服
インフリーカプセル１００ｍｇ,1145005M1020,インドメタシン　ファルネシル,内服
インフリーＳカプセル２００ｍｇ,1145005M2026,インドメタシン　ファルネシル,内服
ジクロフェナクナトリウム２５ｍｇ錠,1147002F1013,ジクロフェナクナトリウム,内服
ボルタレン錠２５ｍｇ,1147002F1560,ジクロフェナクナトリウム,内服
