医薬品名,薬価基準収載医薬品コード,一般名,薬剤区分
レギチーン注射液５ｍｇ,7290404A2026,フェントラミンメシル酸塩,注射
プロハンス静注５ｍＬ,7290407A1031,ガドテリドール,注射
プロハンス静注１５ｍＬ,7290407A2038,ガドテリドール,注射
プロハンス静注２０ｍＬ,7290407A3034,ガドテリドール,注射
プロハンス静注１０ｍＬ,7290407A4030,ガドテリドール,注射
プロハンス静注シリンジ１３ｍＬ,7290407G1034,ガドテリドール,注射
ガドテリドール静注シリンジ１３ｍＬ「ＨＫ」,7290407G1042,ガドテリドール,注射
プロハンス静注シリンジ１７ｍＬ,7290407G2030,ガドテリドール,注射
ガドテリドール静注シリンジ１７ｍＬ「ＨＫ」,7290407G2049,ガドテリドール,注射
マグネスコープ静注３８％シリンジ１０ｍＬ,7290411G1030,ガドテル酸メグルミン,注射
ガドテル酸メグルミン静注３８％シリンジ１０ｍＬ「ＧＥ」,7290411G1049,ガドテル酸メグルミン,注射
マグネスコープ静注３８％シリンジ１５ｍＬ,7290411G2037,ガドテル酸メグルミン,注射
ガドテル酸メグルミン静注３８％シリンジ１５ｍＬ「ＧＥ」,7290411G2045,ガドテル酸メグルミン,注射
マグネスコープ静注３８％シリンジ２０ｍＬ,7290411G3033,ガドテル酸メグルミン,注射
ガドテル酸メグルミン静注３８％シリンジ２０ｍＬ「ＧＥ」,7290411G3041,ガドテル酸メグルミン,注射
マグネスコープ静注３８％シリンジ１１ｍＬ,7290411G4021,ガドテル酸メグルミン,注射
